wavelength,micro,micro_se,nano,nano_se,pico,pico_se
400,0.0160,0.0017,0.0619,0.003,0.0816,0.0025
402,0.0164,0.0017,0.0607,0.0029,0.0886,0.0026
404,0.0171,0.0018,0.0596,0.0028,0.0962,0.0026
406,0.0175,0.0018,0.0619,0.0029,0.0986,0.0027
408,0.0174,0.0018,0.0667,0.003,0.1008,0.0027
410,0.0174,0.0018,0.0696,0.003,0.1046,0.0027
412,0.0177,0.0018,0.0717,0.0032,0.1089,0.0028
414,0.0174,0.0018,0.0737,0.0032,0.1128,0.0028
416,0.0173,0.0019,0.0756,0.0033,0.1177,0.0029
418,0.0171,0.0019,0.0758,0.0033,0.1227,0.0029
420,0.0165,0.0019,0.0793,0.0035,0.1239,0.0030
422,0.0163,0.0019,0.0805,0.0035,0.1278,0.0030
424,0.0161,0.0019,0.0816,0.0036,0.1312,0.0031
426,0.0162,0.0019,0.0846,0.0037,0.1333,0.0031
428,0.0162,0.0020,0.0857,0.0037,0.1366,0.0031
430,0.0164,0.0020,0.0876,0.0038,0.1393,0.0032
432,0.0167,0.0021,0.0896,0.0038,0.1425,0.0032
434,0.0168,0.0021,0.0913,0.0039,0.1442,0.0032
436,0.0169,0.0021,0.0922,0.0039,0.1462,0.0033
438,0.0167,0.0021,0.0936,0.004,0.1474,0.0033
440,0.0163,0.0021,0.0927,0.004,0.1482,0.0033
442,0.0158,0.0021,0.0914,0.004,0.1488,0.0033
444,0.0151,0.0021,0.0894,0.004,0.1491,0.0032
446,0.0144,0.0020,0.0886,0.0039,0.1479,0.0032
448,0.0138,0.0020,0.0863,0.0039,0.1466,0.0032
450,0.0134,0.0020,0.0856,0.0039,0.1448,0.0031
452,0.0131,0.0020,0.0839,0.0038,0.1431,0.0031
454,0.0130,0.0019,0.0843,0.0038,0.1398,0.0030
456,0.0132,0.0019,0.0841,0.0038,0.1371,0.0030
458,0.0135,0.0019,0.0839,0.0037,0.1346,0.0030
460,0.0138,0.0019,0.0847,0.0037,0.1309,0.0029
462,0.0142,0.0019,0.0838,0.0036,0.1280,0.0029
464,0.0145,0.0019,0.0825,0.0036,0.1258,0.0028
466,0.0149,0.0019,0.0821,0.0035,0.1215,0.0028
468,0.0151,0.0019,0.0826,0.0035,0.1167,0.0027
470,0.0151,0.0018,0.0822,0.0035,0.1116,0.0026
472,0.0152,0.0018,0.0812,0.0034,0.1071,0.0026
474,0.0149,0.0018,0.0815,0.0033,0.102,0.0025
476,0.0147,0.0018,0.0805,0.0033,0.0983,0.0024
478,0.0145,0.0017,0.0795,0.0033,0.0950,0.0024
480,0.0143,0.0017,0.0775,0.0032,0.0927,0.0023
482,0.0141,0.0017,0.0754,0.0031,0.0913,0.0023
484,0.0139,0.0016,0.0733,0.0031,0.0899,0.0022
486,0.0139,0.0016,0.0708,0.003,0.0888,0.0022
488,0.0139,0.0016,0.0674,0.0029,0.0883,0.0021
490,0.0139,0.0016,0.0642,0.0028,0.0875,0.0021
492,0.0139,0.0015,0.0607,0.0027,0.0864,0.0021
494,0.0139,0.0015,0.057,0.0026,0.0851,0.0020
496,0.0139,0.0014,0.0536,0.0025,0.0829,0.0020
498,0.0138,0.0014,0.0502,0.0023,0.0801,0.0019
500,0.0137,0.0013,0.0472,0.0022,0.0765,0.0018
502,0.0135,0.0013,0.044,0.0021,0.0728,0.0017
504,0.0135,0.0012,0.041,0.002,0.0688,0.0017
506,0.0134,0.0011,0.038,0.0018,0.0650,0.0016
508,0.0134,0.0011,0.0355,0.0017,0.0606,0.0015
510,0.0133,0.0011,0.0334,0.0016,0.0565,0.0015
512,0.0132,0.0010,0.0315,0.0016,0.0522,0.0014
514,0.0132,0.0010,0.0297,0.0015,0.0482,0.0013
516,0.0132,0.0009,0.0281,0.0014,0.0445,0.0013
518,0.0131,0.0009,0.0268,0.0014,0.0408,0.0012
520,0.0131,0.0009,0.0253,0.0013,0.0378,0.0012
522,0.0131,0.0009,0.0238,0.0012,0.0349,0.0011
524,0.0130,0.0008,0.0225,0.0012,0.0325,0.0011
526,0.0129,0.0008,0.0214,0.0012,0.0301,0.0010
528,0.0129,0.0008,0.0199,0.0011,0.0282,0.0010
530,0.0128,0.0008,0.0189,0.0011,0.0263,0.0010
532,0.0126,0.0007,0.0178,0.0011,0.0247,0.0009
534,0.0125,0.0007,0.0167,0.0010,0.0232,0.0009
536,0.0122,0.0007,0.0158,0.0010,0.0218,0.0009
538,0.0121,0.0007,0.0147,0.0010,0.0207,0.0009
540,0.0119,0.0007,0.0138,0.0009,0.0198,0.0008
542,0.0116,0.0007,0.0130,0.0009,0.0188,0.0008
544,0.0113,0.0006,0.0123,0.0009,0.0179,0.0008
546,0.0109,0.0006,0.0115,0.0009,0.0171,0.0008
548,0.0106,0.0006,0.0106,0.0008,0.0164,0.0007
550,0.0101,0.0006,0.0101,0.0008,0.0156,0.0007
552,0.0097,0.0006,0.0091,0.0008,0.0153,0.0007
554,0.0091,0.0005,0.0087,0.0008,0.0144,0.0007
556,0.0086,0.0005,0.0081,0.0007,0.0137,0.0006
558,0.0080,0.0005,0.0078,0.0007,0.013,0.0006
560,0.0074,0.0005,0.0076,0.0007,0.0124,0.0006
562,0.0069,0.0005,0.0074,0.0007,0.0118,0.0006
564,0.0065,0.0005,0.0074,0.0007,0.0112,0.0006
566,0.0061,0.0004,0.0073,0.0007,0.0106,0.0005
568,0.0058,0.0004,0.0072,0.0007,0.0105,0.0005
570,0.0056,0.0004,0.0072,0.0006,0.0102,0.0005
572,0.0053,0.0004,0.0076,0.0006,0.0097,0.0005
574,0.0051,0.0004,0.0077,0.0006,0.0095,0.0005
576,0.0049,0.0004,0.0076,0.0006,0.0095,0.0005
578,0.0048,0.0004,0.0078,0.0006,0.0093,0.0005
580,0.0047,0.0004,0.0083,0.0006,0.0091,0.0005
582,0.0046,0.0004,0.0084,0.0006,0.0092,0.0005
584,0.0046,0.0004,0.0086,0.0006,0.0093,0.0005
586,0.0046,0.0004,0.0088,0.0006,0.0092,0.0005
588,0.0047,0.0004,0.0089,0.0006,0.0093,0.0005
590,0.0046,0.0004,0.0092,0.0006,0.0093,0.0005
592,0.0046,0.0004,0.0091,0.0006,0.0094,0.0005
594,0.0046,0.0004,0.0090,0.0006,0.0094,0.0005
596,0.0045,0.0004,0.0089,0.0006,0.0093,0.0005
598,0.0043,0.0004,0.0086,0.0006,0.0095,0.0005
600,0.0042,0.0004,0.0083,0.0006,0.0095,0.0005
602,0.0042,0.0004,0.0081,0.0006,0.0093,0.0005
604,0.0041,0.0004,0.0083,0.0006,0.0091,0.0005
606,0.0042,0.0004,0.0082,0.0006,0.0091,0.0005
608,0.0042,0.0004,0.0083,0.0006,0.0091,0.0005
610,0.0044,0.0004,0.0084,0.0006,0.0092,0.0005
612,0.0045,0.0004,0.0085,0.0006,0.0094,0.0005
614,0.0047,0.0004,0.0085,0.0006,0.0097,0.0005
616,0.0049,0.0004,0.0086,0.0006,0.0099,0.0005
618,0.0050,0.0004,0.0089,0.0006,0.0101,0.0005
620,0.0051,0.0004,0.0090,0.0006,0.0102,0.0005
622,0.0052,0.0004,0.0093,0.0006,0.0104,0.0005
624,0.0053,0.0004,0.0095,0.0006,0.0104,0.0005
626,0.0054,0.0004,0.0097,0.0006,0.0105,0.0005
628,0.0055,0.0004,0.0100,0.0006,0.0105,0.0005
630,0.0056,0.0004,0.0104,0.0006,0.0105,0.0005
632,0.0059,0.0004,0.0105,0.0006,0.0105,0.0005
634,0.0061,0.0005,0.0106,0.0007,0.0105,0.0005
636,0.0063,0.0005,0.0109,0.0007,0.0105,0.0005
638,0.0064,0.0005,0.0111,0.0007,0.0104,0.0005
640,0.0065,0.0005,0.0112,0.0007,0.0102,0.0005
642,0.0066,0.0005,0.0112,0.0007,0.0103,0.0005
644,0.0066,0.0005,0.0113,0.0007,0.0103,0.0005
646,0.0067,0.0005,0.0115,0.0007,0.0101,0.0005
648,0.0067,0.0005,0.0114,0.0007,0.0104,0.0005
650,0.0068,0.0006,0.0115,0.0007,0.0106,0.0005
652,0.0069,0.0006,0.0116,0.0008,0.0108,0.0005
654,0.0072,0.0006,0.0120,0.0008,0.0113,0.0005
656,0.0078,0.0006,0.0129,0.0008,0.0118,0.0005
658,0.0085,0.0006,0.0143,0.0009,0.0125,0.0005
660,0.0096,0.0006,0.0159,0.0009,0.0139,0.0006
662,0.0109,0.0007,0.0184,0.0009,0.0153,0.0006
664,0.0124,0.0007,0.0209,0.0010,0.0174,0.0007
666,0.0139,0.0007,0.0239,0.0010,0.0198,0.0007
668,0.0153,0.0008,0.0264,0.0011,0.0227,0.0008
670,0.0164,0.0008,0.0285,0.0011,0.0254,0.0008
672,0.0172,0.0008,0.0298,0.0012,0.0278,0.0009
674,0.0174,0.0009,0.0304,0.0012,0.0294,0.0009
676,0.0172,0.0009,0.0300,0.0012,0.0302,0.0009
678,0.0166,0.0008,0.0284,0.0012,0.0301,0.0009
680,0.0155,0.0008,0.0257,0.0012,0.0293,0.0009
682,0.0141,0.0008,0.0222,0.0011,0.0276,0.0009
684,0.0124,0.0007,0.0181,0.0010,0.0253,0.0008
686,0.0106,0.0007,0.0140,0.0009,0.0222,0.0008
688,0.0086,0.0006,0.0105,0.0008,0.0189,0.0007
690,0.0069,0.0005,0.0074,0.0007,0.0155,0.0006
692,0.0053,0.0004,0.0053,0.0006,0.0122,0.0005
694,0.0040,0.0003,0.0036,0.0005,0.0097,0.0004
696,0.0030,0.0003,0.0028,0.0004,0.0074,0.0004
698,0.0023,0.0002,0.0019,0.0003,0.006,0.0003
700,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003
